INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
201318136.0,201318136299900,2999,0,criminal-mischief-other,public-disorder,2013-01-12 01:50:00,2013-01-12 02:00:00,2013-01-12 02:16:00,6300 E 14TH AVE,3164590.0,1694256.0,-104.9147451,39.7380813,3,313,montclair
201318421.0,201318421220300,2203,0,burglary-business-by-force,burglary,2013-01-11 18:59:59,2013-01-12 08:00:00,2013-01-12 10:05:59,4522 E COLFAX AVE,3158982.0,1694944.0,-104.9346705,39.7400674,3,312,hale
20139706.0,20139706521200,5212,0,weapon-poss-illegal-dangerous,all-other-crimes,2013-01-06 23:25:00,,2013-01-07 02:49:59,3300 BLOCK N FILLMORE ST,3153619.0,1703573.0,-104.9535559,39.7638455,2,213,clayton
20136000399.0,20136000399230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-12 11:35:00,2013-01-12 17:35:00,2013-01-13 10:21:59,4700 N BALDWIN CT,3149680.0,1710191.0,-104.9674292,39.7820771,2,222,elyria-swansea
20136000384.0,20136000384299900,2999,0,criminal-mischief-other,public-disorder,2013-01-12 10:50:00,2013-01-12 10:54:59,2013-01-12 15:04:00,1725 N XANTHIA ST,3172281.0,1696551.0,-104.8873429,39.7442422,2,233,east-colfax
201318383.0,201318383220200,2202,0,burglary-residence-by-force,burglary,2013-01-11 15:00:00,2013-01-12 08:00:00,2013-01-12 10:30:00,4568 N NAVAJO ST,3139568.0,1709198.0,-105.0034269,39.7795084,1,115,sunnyside
201316966.0,201316966220200,2202,0,burglary-residence-by-force,burglary,2012-12-17 23:39:59,2012-12-18 00:30:00,2013-01-12 06:40:00,856 S QUIVAS ST,3138801.0,1680327.0,-105.0067135,39.7002637,4,413,athmar-park
201318162.0,201318162357200,3572,0,drug-methampetamine-possess,drug-alcohol,2013-01-12 02:19:59,,2013-01-12 04:05:00,1800 BLOCK MARKET ST,3141910.0,1699128.0,-104.9952934,39.7518292,6,625,union-station
201318500.0,201318500239901,2399,1,theft-bicycle,larceny,2013-01-11 20:00:00,2013-01-12 09:59:59,2013-01-12 11:12:00,1170 N EUDORA ST,3160290.0,1692828.0,-104.9300666,39.7342362,3,312,hale
20136000385.0,20136000385230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-11 21:00:00,2013-01-12 00:30:00,2013-01-12 15:33:00,140 S BROADWAY ST,3144280.0,1685259.0,-104.9871431,39.7137198,4,422,speer
201317937.0,201317937549902,5499,2,vehicular-eluding-no-chase,all-other-crimes,2013-01-11 23:32:00,,2013-01-11 23:39:59,W 1ST AVE / N KNOX CT,3131519.0,1686805.0,-105.0324741,39.7181529,4,411,barnum
20136000396.0,20136000396299901,2999,1,criminal-mischief-mtr-veh,public-disorder,2013-01-12 20:00:00,2013-01-12 21:45:00,2013-01-13 08:45:00,3825 N TENNYSON ST,3128022.0,1705691.0,-105.0445686,39.7700472,1,112,berkeley
201317107.0,201317107131600,1316,0,threats-to-injure,public-disorder,2013-01-11 13:44:59,,2013-01-11 14:29:00,2725 W YALE AVE,3134875.0,1668327.0,-105.0208908,39.6673785,4,432,college-view-south-platte
201316768.0,201316768521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2013-01-10 21:59:59,2013-01-11 00:00:00,2013-01-11 10:54:00,5000 BLK N UVALDA ST,3186912.0,1712889.0,-104.8348893,39.7888097,5,521,montbello
201316723.0,201316723220301,2203,1,burg-auto-theft-busn-w-force,burglary,2013-01-11 02:10:00,2013-01-11 02:19:59,2013-01-11 09:00:00,4565 E COLFAX AVE,3159007.0,1695065.0,-104.9345789,39.7403992,2,234,south-park-hill
20136000403.0,20136000403230400,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,2013-01-11 12:45:00,2013-01-11 12:45:00,2013-01-13 13:02:00,4470 E JEWELL AVE,3158894.0,1673710.0,-104.9354526,39.6817774,3,322,virginia-village
201315926.0,201315926230300,2303,0,theft-shoplift,larceny,2013-01-10 19:40:00,2013-01-10 19:54:59,2013-01-10 20:46:59,15 S STEELE ST,3154360.0,1686227.0,-104.9512928,39.7162155,3,314,cherry-creek
201317695.0,201317695357100,3571,0,drug-methampetamine-sell,drug-alcohol,2013-01-11 21:00:00,2013-01-11 21:30:00,2013-01-11 21:30:00,W 8TH AVE / N WYANDOT ST,3136697.0,1690899.0,-105.0139898,39.7293172,6,618,lincoln-park
201317179.0,201317179549901,5499,1,vehicular-eluding,all-other-crimes,2013-01-11 15:01:00,,2013-01-12 12:42:00,E 8TH AVE / N JOSEPHINE ST,3152156.0,1690912.0,-104.9590281,39.729113,3,311,congress-park
20136000412.0,20136000412230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-12 21:59:59,2013-01-13 17:15:00,2013-01-13 17:26:59,2360 S HIGH ST,3150616.0,1670606.0,-104.9649284,39.6733937,3,323,university
2012602804.0,2012602804131500,1315,0,aggravated-assault,aggravated-assault,2012-12-31 16:40:00,2012-12-31 16:44:59,2012-12-31 17:15:00,,3159696.0,1703554.0,-104.9319402,39.763691,2,224,northeast-park-hill
201318347.0,201318347220400,2204,0,burglary-residence-no-force,burglary,2013-01-12 07:30:00,2013-01-12 08:22:00,2013-01-12 08:22:00,3544 N BEELER ST,3174398.0,1704459.0,-104.8796228,39.7659114,2,235,stapleton
20136000381.0,20136000381230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-10 18:40:00,2013-01-12 12:00:00,2013-01-12 13:57:00,1520 STOUT ST,3142399.0,1696651.0,-104.9936034,39.745022,6,624,cbd
201316265.0,201316265121000,1210,0,robbery-purse-snatch-w-force,robbery,2013-01-10 23:46:59,,2013-01-11 00:40:00,600 BLOCK E COLFAX AVE,3146350.0,1694762.0,-104.9795917,39.739775,6,614,capitol-hill
201319174.0,201319174131500,1315,0,aggravated-assault,aggravated-assault,2013-01-12 20:00:00,,2013-01-12 20:55:00,1840 W CENTER AVE,3138167.0,1682250.0,-105.0089297,39.7055522,4,413,athmar-park
20136000416.0,20136000416230400,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,2013-01-08 14:00:00,2013-01-08 15:59:59,2013-01-13 20:01:59,3741 N MARIPOSA ST,3139620.0,1705345.0,-105.0033168,39.7689306,1,116,highland
20135000079.0,20135000079250100,2501,0,forgery-checks,white-collar-crime,2012-05-25 09:00:00,2012-08-15 17:00:00,2013-01-11 14:17:59,695 S JASON ST,3140883.0,1681739.0,-104.9992867,39.7041087,4,413,athmar-park
201317255.0,201317255230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-10 20:00:00,2013-01-11 15:59:59,2013-01-11 15:59:59,4849 N BANNOCK ST,3143010.0,1711374.0,-104.9911374,39.7854295,1,114,globeville
20138001329.0,20138001329239900,2399,0,theft-other,larceny,2013-01-11 18:30:00,2013-01-11 20:36:59,2013-01-11 21:14:59,8400 PENA BLVD,3231960.0,1735310.0,-104.6738723,39.8493415,7,759,dia
201320098.0,201320098230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-12 18:59:59,2013-01-13 10:31:59,2013-01-13 10:31:59,22ND ST / BLAKE ST,3142852.0,1700712.0,-104.9919117,39.7561632,6,623,five-points
201318918.0,201318918230300,2303,0,theft-shoplift,larceny,2013-01-12 17:29:59,,2013-01-12 20:22:00,7800 E SMITH RD,3169237.0,1705800.0,-104.8979496,39.7696879,2,235,stapleton
201318256.0,201318256120800,1208,0,robbery-residence,robbery,2013-01-12 04:40:00,,2013-01-12 06:18:59,929 S RALEIGH ST,3128619.0,1680065.0,-105.0429035,39.6996907,4,414,westwood
20136000391.0,20136000391230800,2308,0,theft-from-bldg,larceny,2013-01-11 23:25:00,2013-01-11 23:58:59,2013-01-12 18:40:00,206 E 13TH AVE,3144987.0,1693595.0,-104.9844619,39.7365928,6,615,capitol-hill
20136000357.0,20136000357230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-10 20:19:59,2013-01-10 20:29:59,2013-01-11 11:26:00,1332 S BROADWAY ST,3144341.0,1677488.0,-104.9870822,39.6923858,4,423,platt-park
201320479.0,201320479220200,2202,0,burglary-residence-by-force,burglary,2013-01-13 14:29:59,2013-01-13 15:45:00,2013-01-13 16:05:59,735 S FILLMORE ST,3153670.0,1681456.0,-104.9538475,39.7031295,3,321,belcaro
201317520.0,201317520501600,5016,0,violation-of-restraining-order,all-other-crimes,2013-01-11 18:37:59,,2013-01-11 20:03:59,,3132143.0,1692660.0,-105.0301483,39.7342172,1,123,villa-park
201316786.0,201316786230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,2013-01-10 12:00:00,2013-01-11 09:56:59,2013-01-11 09:56:59,1050 N SHERMAN ST,3145059.0,1692265.0,-104.9842327,39.7329405,6,615,capitol-hill
20136000379.0,20136000379299902,2999,2,criminal-mischief-graffiti,public-disorder,2012-12-01 11:29:59,2012-12-01 11:29:59,2013-01-12 11:39:00,2445 N CLARKSON ST,3146971.0,1699532.0,-104.977286,39.7528597,6,622,five-points
201319325.0,201319325131500,1315,0,aggravated-assault,aggravated-assault,2013-01-12 23:26:00,,2013-01-12 23:26:00,,3144918.0,1677457.0,-104.9850325,39.6922917,4,423,platt-park
201318101.0,201318101131502,1315,2,menacing-felony-w-weap,aggravated-assault,2013-01-12 01:21:59,,2013-01-12 12:52:00,3131 N COLUMBINE ST,3152460.0,1702691.0,-104.9576973,39.7614434,2,214,skyland
201318179.0,201318179299901,2999,1,criminal-mischief-mtr-veh,public-disorder,2013-01-12 02:15:00,2013-01-12 02:45:00,2013-01-12 04:40:00,4020 W COLFAX AVE,3129460.0,1694765.0,-105.03965,39.7400336,1,122,west-colfax
